iter	Passed	Remaining
906	28145	2885
907	28172	2854
908	28199	2823
909	28226	2791
910	28253	2760
911	28281	2728
912	28307	2697
913	28335	2666
914	28368	2635
915	28400	2604
916	28426	2572
917	28455	2541
918	28483	2510
919	28512	2479
920	28539	2448
921	28571	2417
922	28601	2386
923	28630	2354
924	28659	2323
925	28685	2292
926	28710	2260
927	28739	2229
928	28766	2198
929	28797	2167
930	28827	2136
931	28855	2105
932	28882	2074
933	28907	2042
934	28935	2011
935	28962	1980
936	28991	1949
937	29026	1918
938	29053	1887
939	29079	1856
940	29107	1825
941	29126	1793
942	29153	1762
943	29177	1730
944	29193	1699
945	29209	1667
946	29228	1635
947	29244	1604
948	29261	1572
949	29277	1540
950	29292	1509
951	29308	1477
952	29322	1446
953	29339	1414
954	29355	1383
955	29371	1351
956	29386	1320
957	29402	1289
958	29419	1257
959	29438	1226
960	29454	1195
961	29471	1164
962	29488	1132
963	29503	1101
964	29519	1070
965	29536	1039
966	29552	1008
967	29568	977
968	29584	946
969	29602	915
970	29620	884
971	29637	853
972	29655	822
973	29671	792
974	29688	761
975	29706	730
976	29724	699
977	29741	669
978	29759	638
979	29778	607
980	29794	577
981	29817	546
982	29839	516
983	29857	485
984	29879	455
985	29897	424
986	29916	394
987	29933	363
988	29951	333
989	29967	302
990	29984	272
991	30002	241
992	30022	211
993	30042	181
994	30061	151
995	30079	120
996	30096	90
997	30113	60
998	30130	30
999	30146	0
